method,SR,SPL,CollisionRate,PathLenRatio,LatencyMs
BEV-full [default] seed=12345,0.44,0.42802121169823776,0.61,0.9182503610499428,2.91951933307226
BEV-full [default] seed=12345 +safety,0.53,0.5082564555378791,0.53,0.9169383456653823,3.1415455380146136
BEV-full [default] seed=42,0.32,0.32,0.69,0.9109382018634473,2.754786825319235
BEV-full [default] seed=42 +safety,0.38,0.3785053619735032,0.64,0.9210764493520467,3.1545243224724753
BEV-full [default] seed=7,0.32,0.31892559990278074,0.71,0.9292402165264206,2.729149389355821
BEV-full [default] seed=7 +safety,0.45,0.4478054823429643,0.6,0.9279284694367541,3.1773622235889487
BEV-full [default] seed=31337,0.41,0.4098540501901124,0.65,0.9171188211309621,2.8207638765260143
BEV-full [default] seed=31337 +safety,0.54,0.5397158524128822,0.55,0.9170516614739751,3.117127442696506
Flat [default] seed=12345,0.45,0.4392132417978549,0.59,0.9125900878355033,1.808753438196847
Flat [default] seed=12345 +safety,0.51,0.488366152369244,0.51,0.9170547317825929,2.196476123302374
Flat [default] seed=42,0.34,0.3395343713175425,0.69,0.9143598239521802,1.868343444571927
Flat [default] seed=42 +safety,0.42,0.41951474162111985,0.64,0.9136387277469671,2.469377156212604
Flat [default] seed=7,0.35,0.33991145671776196,0.68,0.920245414476899,1.83793353166978
Flat [default] seed=7 +safety,0.43,0.4198439317400938,0.61,0.9173855865811049,2.3593354686750363
Flat [default] seed=31337,0.4,0.3987746674399101,0.64,0.9165259879109909,1.9164165601911676
Flat [default] seed=31337 +safety,0.52,0.5198816657199778,0.53,0.9133328892525658,2.266120053423092
BEV-no_occ [default] seed=12345,0.42,0.40997198204175467,0.62,0.9009066480611039,3.130342107805488
BEV-no_occ [default] seed=12345 +safety,0.48,0.4699827220501021,0.55,0.903074194666086,3.410932963985395
BEV-no_occ [default] seed=42,0.34,0.34,0.68,0.9081646160071507,3.0793596447660816
BEV-no_occ [default] seed=42 +safety,0.4,0.39867214154276326,0.62,0.9096810213199091,3.2732179538708306
BEV-no_occ [default] seed=7,0.32,0.30955760636543855,0.72,0.9131947183495052,2.874706824196534
BEV-no_occ [default] seed=7 +safety,0.41,0.4,0.62,0.9107496489515778,3.234724873710247
BEV-no_occ [default] seed=31337,0.35,0.35,0.7,0.9106916447650967,2.935865510892535
BEV-no_occ [default] seed=31337 +safety,0.47,0.47,0.64,0.9102209855600346,3.530397756142857
BEV-no_free [default] seed=12345,0.44,0.4212867473009066,0.6,0.9434734303280184,2.8151773834365956
BEV-no_free [default] seed=12345 +safety,0.53,0.5111946404645279,0.51,0.9377782568106104,3.0235288580952124
BEV-no_free [default] seed=42,0.35,0.34781745116750834,0.68,0.9271415475161061,2.636733531003458
BEV-no_free [default] seed=42 +safety,0.42,0.41036270641486133,0.6,0.9539135327071494,3.03135493356714
BEV-no_free [default] seed=7,0.34,0.3275124861100953,0.69,0.9316931880037158,2.595281853542602
BEV-no_free [default] seed=7 +safety,0.44,0.425081318252727,0.62,0.9351152383341793,3.085766574900918
BEV-no_free [default] seed=31337,0.4,0.39305907452679556,0.64,0.9447388032170252,2.702342530030599
BEV-no_free [default] seed=31337 +safety,0.53,0.5261087322550124,0.54,0.9267977477292605,3.108286791239037
BEV-no_goal [default] seed=12345,0.44,0.4296805032583805,0.58,0.9095846938159848,3.0040103916938876
BEV-no_goal [default] seed=12345 +safety,0.51,0.49876329215828286,0.52,0.9139168057566414,3.330839328691367
BEV-no_goal [default] seed=42,0.35,0.3498696671944445,0.67,0.9111564018103819,2.7342460704408835
BEV-no_goal [default] seed=42 +safety,0.42,0.41976502297798196,0.61,0.913877277846044,2.9971585001031547
BEV-no_goal [default] seed=7,0.33,0.3198474791999487,0.69,0.929523796269639,2.576772253708072
BEV-no_goal [default] seed=7 +safety,0.44,0.43912339602637346,0.61,0.9235140381877773,3.2373475432286916
BEV-no_goal [default] seed=31337,0.4,0.4,0.66,0.9136958791829783,2.7053915325053977
BEV-no_goal [default] seed=31337 +safety,0.54,0.5399537831617184,0.54,0.9158092308977307,3.000500437290208
BEV-full [hard] seed=12345,0.33,0.31801281580200846,0.72,0.9470975099368422,2.7729294450901603
BEV-full [hard] seed=12345 +safety,0.57,0.5664330306551323,0.57,0.9415233013333026,3.1943916561773475
BEV-full [hard] seed=42,0.32,0.31754135364871977,0.72,0.9508908721144331,2.7060899921920534
BEV-full [hard] seed=42 +safety,0.46,0.4558832282856919,0.58,0.9525232387897221,3.352904481360381
BEV-full [hard] seed=7,0.4,0.39896663680824707,0.64,0.9397188044132221,2.7334915688649293
BEV-full [hard] seed=7 +safety,0.55,0.5489412992505391,0.51,0.9364316992434842,3.3338536938801684
BEV-full [hard] seed=31337,0.32,0.31923594972825614,0.74,0.9336434088197733,2.7450671609772157
BEV-full [hard] seed=31337 +safety,0.47,0.4677738102310693,0.64,0.9364136864931342,3.0963630045992443
